country,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008
Afghanistan,,,250000,,,,80000,,272000,,30000,,,,,,,,161000,,,141000,4600,,,7530,9920,20800,330,500,,,5630,3890,4520,18600,33300,30600,1180
Albania,,,,,,,,,,,,,,,,,,,,,,,35000,,,3500,,8000,,,,,66900,,2500,503,,,
Algeria,,,,146000,20000,,,,,30000,,93,8550,,1520,15000,,,,,,,2280,38,31200,,105,3000,,714,249,46300,2350,91,27600,1830,60000,1390,59100
Angola,,,,,,,,,,,,,,,,,,,,100000,,,,,,,,,,,79100,40000,8,840,334000,10000,225,46100,81400
Argentina,36,,,,,,,2500,1600,20000,40000,,50000,6080000,,1210000,204000,12000,4600000,,2020,,88100,,,2500,,12500,360000,,37800,251000,12000,163000,6310,,4500,135000,85000
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,7000,144,,,,,,1,,,,
Australia,,27,,12000,14,,10000,,7,,,2,,,36,,8,,16,9,6010,,,20500,,,13200,400,15200,,600,4000,,471,3620,3000,1100,5010,4200
Austria,,,,,,,,,,,,,,,,12,,,,,,5,,,,2,,3,,3,,,60000,,,904,516,,
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,1660000,,75000,,,,,,31500,,,,,
Bangladesh,10000000,,50,427,38000000,,4000000,214000,400000,,10000000,,308000,7160000,30000000,500000,400000,29700000,45000000,200000,2010000,2990000,75200,15800000,395000,14700000,5830000,900000,15000000,496000,2680000,700000,1500000,550000,36900000,1150000,212000,13800000,618000
Barbados,213,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,
Belarus,,,,,,,,,,,,,,,,,,,,,,,,40000,,,,,,2000,,,,,,,,,
Belgium,,600,,,,,,,,,,,,,,,,,,,,,,600,135,,,,141,,,,2400,,,210,,,
Belize,,,,,,,,,,17000,,,,,,,,,,,,,,,,2600,,,,,,,,,,,,,38000
Benin,,,,,,,,,,,,,580000,,,475000,,,84000,,,3,,,34000,123000,149000,51000,420000,57500,,,,,,,,10900,158000
Bhutan,,,,,,,,,,,,,,,,,,,,,,,,,622,,,,,,1200,,,,,,,,
Bolivia,,,,,18000,,,90000,178000,,15000,,30000,50200,3000,475,310000,20000,,,,,40000,,,,,190000,,1600,7040,357000,5220,57600,,,127000,825000,
Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9000,,,278000,3100,,,
Botswana,,,1000,,,,,,,,,,,,,,,,12000,,,,,,,5520,,,,,139000,,,,4960,,,,
Brazil,104000,13200,,20,325000,828000,,131000,1030,1500000,271000,52400,,3340000,392000,612000,8360,10600,3070000,1030000,2820,17000,148000,,,33900,7020,62300,47500,7,87000,11100,3520,206000,5290,41000,116000,206000,1790000
Bulgaria,,,,,,,,,,,,,,,,,,,,,,,,,,,,200,,,,,1,,,12200,,1080,
Burkina Faso,,,,,,,,900,,,,,,,1500,572,,,33300,,,,,,66500,,,,,1570,,,,12100,,,25600,121000,4880
Burundi,,,,,,,,,,,,,,,,,,,,3610,,,,,,,,,,,500,,8000,,10000,5000,14800,25700,3280
Cambodia,,,,,,,,,,,,,,,,,,,,,,900000,,,29500,,1300000,,,660000,3450000,1670000,1470000,,,16,38000,19000,
Cameroon,,,,,,,,,,,,,,,,,,,1000,,,202,,,6,,,,,1020,503,1530,,,,2,,10300,25000
Canada,,,,,,,,,,,,,,,,,4500,1,2,,8,,,200,,5600,12000,29000,3100,,,,,2470,1000,5600,3900,500,2400
Central African Republic,,,,13000,,,,,,,,,,,,,,,,,,,,,,3910,17500,,9200,45900,,,,240,12700,23800,,7810,795
Chad,,,,,,,,,,,,,,,,500,,,47500,,,53,,,,80700,,,1000,174000,,176000,,,,,52,173000,14400
Chile,,,,,40000,,,,6000,,,,8000,,,,54100,198000,,21,2500,,,3380,,28,,76800,,,182000,12600,231000,,9000,1350,95900,,145000
China,,,,,,,,,,,113000,3190000,817000,100,28000,19200,9800000,941000,25600000,100000000,42300000,210000000,685000,8630,112000000,127000000,155000000,7690000,243000000,107000000,763000,2350000,113000000,156000000,42700000,34800000,15000000,111000000,7190000
Colombia,5110000,51,,5180,,,47,,,102000,90,150,90,,,,250000,871,131000,16,20600,,,80400,18000,86100,180000,15000,,151000,79100,6000,125000,74100,532000,602000,222000,1610000,1250000
"Congo, Dem. Rep.",,,,,,,,,,,,,,,,,,,,,27500,,,,89,,,35500,,78000,,13100,2580,1480,,,13000,1630,517
"Congo, Rep.",,,,,,,,,,,,,,,,,,,,,,,,,16500,,,,20000,42000,,,53000,,,2000,5010,25000,
Costa Rica,15300,,,,,,,,,,1350,,,,,,,,12500,,,185000,,38500,2560,,20000,,,10000,,1440,95000,2500,3060,3000,,24500,154000
Cote d'Ivoire,,,,,,,,,,,,,,,,,,,,7000,,,,,,,28,,,,,,,,,,,2000,456
Croatia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,600,1200,,,,250,,,
Cuba,,,,,,,,18000,,,,,,165000,,3000,7500,,90000,,11000,,9130,572000,38600,33200,10900,35000,,,677,,35000,600,,,1500,18000,20000
Czech Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,61,102000,6,,,,200000,,,1,4320,,
Djibouti,,,,,,,,91000,106000,,,102000,,,,,,,,150000,,,,20000,120000,,,,,,,,,,100000,,,,
Dominican Republic,,,,,,,,,,1030,,150000,,,,907,,,1190000,,,10,,20000,,,1000,,,,,,1750,65500,10700,1450,,19800,
Ecuador,151000,2400,,30000,,,,,,,,,700000,200000,,,,10000,,30000,,,205000,,,,,49200,,,66,9590,54700,7900,,,57700,,289000
Egypt,,,,,,15,,,,66000,,,,,,,,,,,,209,,,161000,3010,272,4,,,,,888,,,,,,
El Salvador,,,,,,,,,,,,,68500,,,,,,39100,10,,,8000,,,1510,,,,5460,402,1000,101,,,2380,,502,3030
Eritrea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7010,,,,
Ethiopia,,,,,,,70000,16000,1010,,,20000,,,,28000,,,47300,,350000,,,34800,43000,93900,115000,65400,,147000,30100,39500,4020,110000,,243000,435000,245000,116000
Fiji,,,,,,,,,,,,,,,,,215000,,,10,,,,,,,,,,,4,,,,600,,228,906,
Finland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,400,,,
France,,,,,,,,25000,1000,,319,,,3730,,,,23,310,,,,3,4,423,,1380,,,4140,2320,16900,3500,27000,,4000,,,
Gabon,,,,,,,,,,,,,,,,,,,10000,,,,,,,,,,,,,,,,,,,,
Gambia,,,,,,,,,,,,,,,,,,,,,,,,,,,4000,,,32000,,251,,,,,,300,400
Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,301,,507,,,,,,,91,2500,600,,
Germany,,,,,,,,,,,,,,,,,,,,,,,,100000,2,,,5200,,100000,,,330000,,,451,1000,1,
Ghana,,,,,,,,,,,,,,,,,,,,2810,,2000000,,,,700000,,,,325000,,144000,2200,,,,,333000,58000
Greece,,,,,,,,1630,,15,,,,,,,,,,,,,,,1010,,,9,903,,6600,1060,390,450,,,3090,602,
Guatemala,,,,1000,,,,,,,,,20900,,,,,6600,6000,10,,,,,610,7470,,,,6040,3020,,98700,,,,,2110,180000
Guinea,,,,,,,,,,,,5000,,,,,,,,,,,,6070,,,,,,,,220000,,,,,1200,20700,4200
Guinea-Bissau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000,,,,750
Guyana,,21000,,,,,,,,,,,,,,,,,,,,,,,,,38000,,,,,,,,,275000,35000,,100000
Haiti,,,40100,,,,,,,,,,,,,,144000,8940,3930,24900,,,,5010,,,58,,,63,1220,5110,38400,162000,34000,14100,24700,105000,
Honduras,,,,,,,15000,,,40000,,,,,,,30000,,16100,,48000,,,82900,15600,25000,75000,,,503000,,,980,3120,,808,1500,15500,313000
Hungary,300,,,,,,,,,,,,,,,,,,,,,,,,,,200,,,134000,2000,10000,1430,,393,,32000,,
Iceland,,,,,,,,,,,,,,,,,,,280,,,,,,,,,,,,,,,,,,,,
India,10400000,166000,,,260,34000000,,1050000,32000000,28000000,32000000,16000000,33500000,251000,19000000,11300000,395000,18300000,22300000,3610,2220,8700000,3070000,128000000,12100000,32700000,7270000,30300000,29600000,27600000,50400000,20600000,42000000,7560000,33200000,28300000,7240000,38200000,12400000
Indonesia,82,,,,,,20200,290000,282000,35000,3100,352000,39000,418000,360000,4340,127000,29100,100000,61500,21200,240000,266000,268000,329000,260000,825000,,100000,16000,489000,86100,592000,439000,13000,20900,700000,571000,461000
Iran,,,,,,,,,,,950000,158,,,,,40300,865,150000,150000,,215000,35100,500000,95000,6290,4050,1410,56800,25500,410,1210000,205000,1370,4090,4860,2810,12,1500
Iraq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8000,,59900,,604
Ireland,,,,,,,,,,,,,,,,,,,,,,,,3500,,,,,,,,,300,,,,,,
Israel,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,1000,,,,,,,,,,
Italy,1300000,,,,,,,1020,,,,,,,,,2,,,,,,1000,,17400,,517,,,,46100,2,10000,1350,202,,,,309
Jamaica,,,,,,,,,,250000,,,,,,,40000,26000,,,,551000,,4380,,,,,,,,,25000,,,,5000,,
Japan,,,458,,,,,5,15000,28100,20,,27700,,,,162000,,27,10,615,,,4800,,12000,,,24000,24200,360000,139,,837,28100,900,10600,10000,50000
Jordan,,,,,,,,,,,,,,,,,,38,,,,18000,,,,,,2,,,,,,,,,,,
Kazakhstan,,,,,,,,,,,,,,,,,,,,,,,,30000,,,,,,,2500,3670,,,,25000,,,13000
Kenya,,,,,,16000,,20100,,,,,3080,,,,,,,,44,,,,,,1000,900000,240,,,4,175000,60300,12000,36200,784000,42700,62500
Kiribati,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85
Kuwait,,,,,,,,,,,,,,,,,,,,,,,,,,,,202,,,,,,,,,,,
Kyrgyz Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7730,,,,,,,2050,,845,
Lao,,115000,,,,,,,459000,,,,,,2010,,,,,,,332000,160,,190000,591000,420000,,,,450000,453000,150000,,,,,,204000
Lebanon,,,,,,,,,,,,,,,,,,1500,,,,,,,,,,,,,,,,17000,,,,,
Lesotho,,,,,,,,,,,,,,,,80000,,100000,,,22,,,,,,,,,,,,,,,,,,
Liberia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5010,,,,,,,,,17000,340
"Macedonia, FYR",,,,,,,,,,,,,,,,,,,,,,,,,,1500,,,,,,,1650,4750,100000,2000,1500,,
Madagascar,,,,,,,,,,,,,,,,,28200,,,,,,,,,,,,20000,,,,,23400,,59600,,33000,
Malawi,,,,,,,,,,20000,,,6000,,,,,,,100000,,150000,,,,1300,,400000,15000,2000,20000,509000,396000,19500,,44500,16000,202000,
Malaysia,243000,,,,,,,,3000,,,,,15000,,,25000,2580,60000,,,,,25000,,,418,,2500,2000,8010,33200,,18800,31000,30600,106000,167000,2000
Maldives,,,,,,,,,,,,,,,,,,300,,,,,,,,,,,,,,,,,,,,1650,
Mali,,,,,,,,,,,,,,,,,,,10000,14600,,,,,,,,,6440,2200,15,3500,22500,10000,,1860,1000,88900,2500
Marshall Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,600
Mauritania,,,,,,,,,,,,,,,3000,6900,,,,,,,,,,600,,,,23800,,3000,27500,21000,,7500,10600,54100,
Mexico,35,,100000,150000,,,,,7010,60000,100000,,5220,,20000,,20,228,,40,17900,44000,,261000,,,9000,,30400,619000,2140,21,7040,53900,4130,14000,,1660000,20000
Moldova,,,,,,,,,,,,,,,,,,,,,,,,,25000,,,2250,,1710,,,501,,,6500,,,4000
Mongolia,,,,,,,,,,,,,,,,,,,,,,,,,5,,41,,,,,4000,,1660,,,,,
Montenegro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1090,
Morocco,266000,,,,,12000,,38000,,6310,,,,,,,,,,,,,,,,38800,60000,60,,,956,315,15100,10000,,,2120,,20000
Mozambique,,500000,,,,75000,,440000,200000,,,500000,,,,500000,,,,2,,,,,,,,400000,,70000,4500000,749000,500,515000,,47800,,402000,
Myanmar,90,,,,1400000,,200000,3000,,10000,,,,,,,,,,,,360000,4630,,,32000,,138000,,50000,,3800,50000,,,,10000,167000,
Namibia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5000,,,12000,25000,,2300,15000,30000
Nepal,20400,,,,,,,,27900,,,10800,92,200000,200,62600,22,351000,27,,2530,533,,554000,,13100,153000,,70300,18200,50200,,,59500,800000,31600,,641000,250000
Netherlands,,,,,,,,,,,,,,,,,,,,,,,,13000,,,,,2000,,,,,,,,,,
New Zealand,,,,,,,129,120,2730,,2900,2250,,140,6800,274,1830,700,1960,154,,248,,,157,,,200,200,350,,,300,,5350,400,1200,,
Nicaragua,,,,,,,8020,,,30000,40000,,,,,,,,,,106000,,,,,,,,,107000,5500,,13600,,,,,24000,14200
Niger,,,,,16000,,,,,,,,,,,,,,80000,,,,,,62000,,,,20000,24400,4160,20000,,30000,,,46500,57300,33000
Nigeria,,,,,,,,,,,,,,,,6000,,,300000,,,,,,580000,,,,107000,117000,5500,90100,200,210000,30000,4060,13000,55100,
North Korea,,,,,,,,,,,,,,,,,,20400,,,,,,,,6200000,3270000,29000,10200,42200,,188000,58400,,200000,16500,92100,1170000,
Norway,,,,,,,,,,,,,,,,,,,,,,,,,,4000,,,,,600,1500,,,,,,,
Pakistan,,,,4800000,,,5570000,1020000,2250000,3210,86300,82,10100,64300,2040,,,,1000000,142000,,24,12800000,261000,840000,1260000,1300000,852000,201000,1080,,400000,4050,1270000,5,7530000,8520,3230,291000
Panama,44400,,300,4010,,,,,2020,,,,,,1000,,6000,,,,,20100,,,,501,,,,896,1000,775,26500,1000,22800,7000,6440,131,23900
Papua New Guinea,,,,,,,,,,,,,,13100,,,,,,,,,90000,54000,,,,,,38000,,,,,10000,2490,12400,,75300
Paraguay,,27000,,,,,,,,190000,,,85000,100000,,,,,45000,,15000,,65600,,,275000,,75000,55,,,,2760,,,,,,
Peru,136000,330000,,,,,,961,22000,,36100,5070,55300,,,,200000,28700,38,538,2660,,30000,219000,101000,,,,,491000,72,66300,10900,65500,7500,,15300,47700,495000
Philippines,,,2770000,5000,1200000,99,15900,7320,2550,16000,26000,308000,201000,1850,,5510,618,,,308000,713000,893,1050000,348000,812000,130000,96000,105000,,2100000,166000,91300,156000,3500,21700,193000,732000,86800,1600000
Poland,,,,,,,,1000,,,4500,,16800,,,,,,,,,,,,,,,225000,1210,,,15000,,,600,3600,500,,
Portugal,,,,,,,,,,45200,,930,,2020,,,,,,,,,,,,,3060,,,,,206,61,36,,,240,,112
Romania,239000,,,,,1000000,,,,,,,,,2000,,,,,,,15100,,,2,5000,,122000,12000,9070,63400,14800,8710,603,28100,58100,24600,4270,10500
Russia,,,,,,,,,,,,,,,,,,,,,,,,14900,798000,,234000,502,190000,1200,76500,375000,385000,600,6540,9070,7720,14000,
Rwanda,,,,,1900000,,,,,,,,,,,,,,21700,,,,,,,,,,,,,3010,20100,7020,,,,4530,11400
Saudi Arabia,,,,,,,,,,,,,,,,5030,,,,,,,,,,,,,,,,,19,13100,435,130,,,
Senegal,,,,,,,,,,,,,,5000,,3000,,,10000,,,,,5000,17500,,,,300000,,,,179000,7780,,50000,,5310,9980
Serbia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12400,
Seychelles,,,,,,,,,,,,,,,,,,,,,,,,,,,,1240,,,,,,,,,,,
Sierra Leone,,,,,,,,,,,,,,,,,,,,,,,,,,,200000,,,,,,,,10,15000,,4500,
Slovak Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11700,36200,,1,,,231,1,101,,
Somalia,,,,,,,,40000,,,,30000,,,,,,30000,,50000,,,,,100,8520,103,1230000,,,374000,6500,,301,1500,7530,487000,10000,52000
South Africa,,,,,26,,,1000,26,,,289,,,,,,65500,25,,,,,15000,11000,4710,7560,307,,2330,3290,42700,2520,501,15000,,7170,38000,4010
South Korea,7030,,1130000,,,,,76300,2030,,,,,,351000,,,154000,,,189000,1590,283,,,,60400,130,121000,30300,3110,310000,4030,,4700,14500,4680,1000,23
Spain,,,,500,,,,,2,70,,,227000,508000,,,,2000,,12,,,,,10,,4000,405,,,1020,,56,,600,,,4440,
Sri Lanka,,,,,,,,,2010,,,20000,130000,1250000,575000,,64500,,,501000,440000,297000,656000,330000,728000,120000,10000,5010,364000,375000,400000,160,500000,695000,200000,145000,333000,406000,738000
St. Vincent and the Grenadines,,,,,,,,,,,,,,,,,152,1000,,,,,203,,,,,,,,,,,,,,,,
Sudan,,,,,,145000,,,100000,,,,,132000,,,,,2500000,,,,,2020,5970,,121000,100000,1000000,281000,,97000,100000,325000,,161000,167000,566000,92800
Suriname,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25000,,6550
Swaziland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,272000,,,,,,,,2500
Sweden,,,,,,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,
Switzerland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,2510,3000,102,
Syria,,,,,205000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,
Tajikistan,,,,,,,,,,,,,,,,,,,,,280,,64800,,6050,,180000,,41900,9420,,2190,4280,1760,400000,5120,,17300,
Tanzania,,,,,68000,,,,9000,90000,,,40000,,,,6000,,6500,141000,163000,,,202000,7030,21800,,10200,4660,,1850,205,1210,2000,,10600,21500,,9530
Thailand,,,,,,3000000,,,2030000,,630000,,,1000000,786000,7660,27800,24,1120000,,,16600,,889000,171000,4280000,5000000,14,,284000,3310000,471000,3290000,108000,507000,819000,2560000,183000,1540000
Timor-Leste,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2510,,1050,,,,948,
Togo,,,,,,,,,,,,,,,,,,,,,,,,,11500,185000,,,30400,65000,,,,,,,2000,141000,44800
Trinidad and Tobago,,,,,,,,,,,,,,,,,,,,,,,,15,,,200,,,,,,,,,,,,
Tunisia,,,,44400,,,,,,750,,,30100,,,,2520,,,,152000,,,,,,,,,,,,,27000,,,,6520,
Turkey,,,,,33,,,,,,60100,10,,,200,,,,1510,,4570,542,,,,307000,,,1240000,,1000,2530,3030,8,50100,3010,63100,3200,
Turkmenistan,,,,,,,,,,,,,,,,,,,,,,,,420,,,,,,,,,,,,,,,
Uganda,,,,,,,,,,,,,,,,,,,,,,,,,,,,154000,15200,,,801,877,2220,30000,,5680,721000,30100
Ukraine,,,,,,,,,,,,,,,,,,,,,,,,325000,,1700000,10000,,24600,,,300000,,600,,8340,5000,,225000
United Kingdom,,,,,,,,6,,,,,,,,,,,,,,,,604,707,,,1,305,330,1440,240,751,,1010,,,370000,3310
United States,,,3240,56,,,139,2840,27,,117000,30,11,10,5530,5560,2010,,,,3390,15,,44000,14100,115000,243000,191000,37000,100,3650,23800,146000,3220,5340,18300,74100,8890,11000000
Uruguay,,,,,,,,,,,,,,,,,18500,,,,,1500,4700,,,,,,9300,,5000,5000,2500,200,,,,120000,
Uzbekistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1500,,,
Vanuatu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3000,,,,,,
Venezuela,,,,,,,,,,,,,,,,15000,,69,5550,,,,,,26,,51500,18000,,574000,27000,,55400,651,4040,45900,135,,1510
Vietnam,204000,,,,,,,,4080000,,628000,,,,38000,2800000,165,,,,10300,296000,110000,15100,382000,400000,375000,,32600,5780000,5030000,1610000,1430000,417000,35100,92600,52300,962000,633000
Yemen,,,,,,,,,,,,,,,,,,,,,,30000,,21500,,,244000,,3310,19800,,33,753,15,,743,2350,2710,25200
Zambia,,,,,,,,,30900,,,,,,,,,,,800000,,,,,,,,,1300000,,12000,618000,,11000,196000,4000,,1550000,15000
Zimbabwe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36,,266000,30000,,18000,,,,17000,
